Siggy‰Ûªs Good Food,http://www.yelp.com/biz/siggys-good-food-new-york,Midwood, Ocean Parkway,,,
Semsom,http://www.yelp.com/biz/semsom-new-york,NoHo,,,,
Bohemian Restaurant,http://www.yelp.com/biz/bohemian-restaurant-new-york,Greenwich Village, NoHo,,,
Bite,http://www.yelp.com/biz/bite-new-york,East Village, NoHo,,,
Great Jones Cafe,http://www.yelp.com/biz/great-jones-cafe-new-york,NoHo,,,,
Gato,http://www.yelp.com/biz/gato-new-york,East Village, NoHo,,,
The Wren,http://www.yelp.com/biz/the-wren-new-york,NoHo,,,,
Saxon + Parole,http://www.yelp.com/biz/saxon-parole-new-york,East Village, NoHo,,,
Vic‰Ûªs,http://www.yelp.com/biz/vics-new-york,NoHo,,,,
Gyu-Kaku Japanese BBQ,http://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york,NoHo,,,,
Le Philosophe,http://www.yelp.com/biz/le-philosophe-new-york,Midwood, Ocean Parkway,,,
Il Buco,http://www.yelp.com/biz/il-buco-new-york,NoHo,,,,
Estela,http://www.yelp.com/biz/estela-new-york-2,NoHo,,,,
The Smile,http://www.yelp.com/biz/the-smile-new-york,NoHo, Nolita,,,
The Library at The Public,http://www.yelp.com/biz/the-library-at-the-public-new-york,NoHo,,,,
DBGB Kitchen and Bar,http://www.yelp.com/biz/dbgb-kitchen-and-bar-new-york,East Village, NoHo,,,
Wise Men,http://www.yelp.com/biz/wise-men-new-york-3,East Village, NoHo, Lower East Side,,
Bar Primi,http://www.yelp.com/biz/bar-primi-new-york-3,East Village, NoHo,,,
Gemma,http://www.yelp.com/biz/gemma-new-york,East Village, NoHo,,,
Lafayette,http://www.yelp.com/biz/lafayette-new-york-2,East Village, NoHo,,,
Taco Bar,http://www.yelp.com/biz/taco-bar-new-york-2,Midwood, Ocean Parkway,,,
Asia de Cuba,http://www.yelp.com/biz/asia-de-cuba-new-york-2,NoHo,,,,
Cafetal Social Club,http://www.yelp.com/biz/cafetal-social-club-new-york,NoHo,,,,
Mile End Delicatessen Manhattan,http://www.yelp.com/biz/mile-end-delicatessen-manhattan-new-york,NoHo, Nolita,,,
Colors,http://www.yelp.com/biz/colors-new-york-2,NoHo,,,,
Aroma Kitchen & Winebar,http://www.yelp.com/biz/aroma-kitchen-and-winebar-new-york,NoHo,,,,
Agozar Cuban Bistro Bar,http://www.yelp.com/biz/agozar-cuban-bistro-bar-new-york-2,NoHo,,,,
Hecho en Dumbo,http://www.yelp.com/biz/hecho-en-dumbo-new-york,East Village, NoHo,,,
Acme,http://www.yelp.com/biz/acme-new-york,East Village, NoHo,,,
B Bar & Grill,http://www.yelp.com/biz/b-bar-and-grill-new-york,NoHo,,,,
Noho Star,http://www.yelp.com/biz/noho-star-new-york,Midwood, Ocean Parkway,,,
Pinche Taqueria,http://www.yelp.com/biz/pinche-taqueria-new-york-2,NoHo,,,,
Temple Bar,http://www.yelp.com/biz/temple-bar-new-york,NoHo,,,,
Il Buco Alimentari & Vineria,http://www.yelp.com/biz/il-buco-alimentari-and-vineria-new-york-2,NoHo,,,,
Quartino Bottega Organica,http://www.yelp.com/biz/quartino-bottega-organica-new-york,NoHo,,,,
CafÌ© Angelique,http://www.yelp.com/biz/caf%C3%A9-angelique-new-york-3,NoHo,,,,
Brazilia Cafe,http://www.yelp.com/biz/brazilia-cafe-new-york-2,Greenwich Village, NoHo,,,
Duane Park,http://www.yelp.com/biz/duane-park-new-york-3,Greenwich Village, NoHo,,,
Le Pain Quotidien,http://www.yelp.com/biz/le-pain-quotidien-new-york-94,East Village, NoHo,,,
West 3rd Common,http://www.yelp.com/biz/west-3rd-common-new-york,NoHo,,,,
SlÌÁinte,http://www.yelp.com/biz/sl%C3%A1inte-new-york,Midwood, Ocean Parkway,,,
Ogawa Japanese Restaurant,http://www.yelp.com/biz/ogawa-japanese-restaurant-new-york,NoHo,,,,
Chez Andre,http://www.yelp.com/biz/chez-andre-new-york,NoHo,,,,
SalÌ_n Hecho,http://www.yelp.com/biz/sal%C3%B3n-hecho-manhattan-2,East Village, NoHo,,,
Smile To Go,http://www.yelp.com/biz/smile-to-go-new-york-2,East Village, NoHo,,,
Chipotle Mexican Grill,http://www.yelp.com/biz/chipotle-mexican-grill-new-york-64,NoHo,,,,
Circolo45,http://www.yelp.com/biz/circolo45-new-york-2,Greenwich Village, NoHo,,,
A-Pou‰Ûªs Taste,http://www.yelp.com/biz/a-pous-taste-new-york,NoHo,,,,
Pret A Manger,http://www.yelp.com/biz/pret-a-manger-new-york-54,East Village, NoHo,,,
BondSt,http://www.yelp.com/biz/bondst-new-york-2,Greenwich Village, NoHo,,,
The Library Restaurant,http://www.yelp.com/biz/the-library-restaurant-new-york,Midwood, Ocean Parkway,,,
GiÌÁ Trattoria,http://www.yelp.com/biz/gi%C3%A1-trattoria-new-york,NoHo,,,,
Azogar!,http://www.yelp.com/biz/azogar-new-york,East Village, NoHo,,,
Indochine,http://www.yelp.com/biz/indochine-new-york,East Village, NoHo,,,
Halal Cart,http://www.yelp.com/biz/halal-cart-new-york-43,NoHo,,,,
NoHo Barista Coffee,http://www.yelp.com/biz/noho-barista-coffee-new-york,NoHo,,,,
Wendy‰Ûªs,http://www.yelp.com/biz/wendys-new-york-3,Greenwich Village, NoHo,,,
Think Coffee,http://www.yelp.com/biz/think-coffee-manhattan-2,Greenwich Village, NoHo,,,
