Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Cuisine,Delivery,Dogs Allowed,Drive-Thru,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Pool Table,Has TV,Music,Noise Level,Outdoor Seating,Parking,Price range,Rating,Review Counts,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Neighborhood1,Neighborhood2,Neighborhood3
,,,,,,,,,Cafes,,,,,,,,,,,,,,,,,,54,,,,,,,Midtown East,Murray Hill,
,,,,,,,,,Food Stands,,,,,,,,,,,,,,,,,5,1,,,,,,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Greek;Mediterranean,Yes,,,Dinner,,Yes,Yes,,,,,,,Yes,,$11-30 and Inexpensive,3,10,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Italian,Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$11-30 and Inexpensive,3,6,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Restaurants,Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$11-30 and Inexpensive,1,1,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Restaurants,Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$11-30 and Inexpensive,,34,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Caterers;Wedding Planning;Breakfast & Brunch,Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$11-30 and Inexpensive,,105,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,No,,Casual,,,,,American (Traditional),Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$11-30 and Inexpensive,,105,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,
,Yes,Full Bar,,Casual,,,,,Italian,Yes,,,Dinner,,Yes,No,,,,No,,Quiet,Yes,,$31-60 and Moderate,2.5,4,,Yes,Yes,Yes,Yes,,Midtown East,Murray Hill,Kips Bay
,Yes,No,,Casual,,Yes,Yes,,Sandwiches;Fast Food,No,,No,Dinner,,No,Yes,,,,No,,Quiet,No,,Under $10,,4,,Yes,No,No,Yes,,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,Yes,,Chinese,No,,No,Dinner,,No,Yes,,,,No,,Quiet,No,,Under $10,1,1,,Yes,No,No,Yes,,Midtown East,Murray Hill,Kips Bay
,Yes,No,,Casual,,Yes,Yes,,Food Stands,No,,No,Dinner,,No,Yes,,,,No,,Quiet,No,,Under $10,4,1,,Yes,No,No,Yes,,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,Yes,,Chinese,No,,No,Dinner,,No,Yes,,,,No,,Quiet,No,,Under $10,,1,,Yes,No,No,Yes,,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,Yes,,Pizza;Chicken Wings;Sandwiches,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,2.5,16,,Yes,No,No,Yes,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Pizza,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,16,,Yes,No,No,No,No,Midtown East,Murray Hill,Kips Bay
,Yes,No,,Casual,,Yes,No,,Desserts;Coffee & Tea;Diners,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,45,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Chinese;Asian Fusion,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,3,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Pizza,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,159,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Chinese,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,176,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Restaurants,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,176,,Yes,No,No,No,No,Midtown East,Murray Hill,Kips Bay
,Yes,No,,Casual,,Yes,No,,Japanese,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,75,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Delis,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,4,1,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Chinese,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,,122,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,No,,Casual,,Yes,No,,Delis;Convenience Stores,Yes,,No,Late night,,Yes,Yes,,,,No,,Average,No,,$11-30 and Inexpensive,1,1,,Yes,No,No,No,No,Midtown East,Murray Hill,Kips Bay
,No,No,,Casual,,Yes,No,,Delis,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,3.5,2,,Yes,No,No,No,No,Midtown East,Murray Hill,
,No,No,,Casual,,Yes,No,,Chinese,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,,283,,Yes,No,No,No,No,Midtown East,Murray Hill,
,No,No,,Casual,,Yes,No,,American (New),Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,1.5,6,,No,No,No,No,No,Midtown East,Murray Hill,
,No,No,,Casual,,Yes,No,,Restaurants,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,,102,,No,No,No,No,No,Midtown East,Murray Hill,
,No,No,,Casual,,Yes,No,,Bars;American (Traditional),Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,,102,,No,No,No,No,No,Midtown East,Murray Hill,
,No,No,,Casual,,Yes,No,,Delis,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,,102,,No,No,No,No,No,Midtown East,Murray Hill,Kips Bay
,No,No,,Casual,,Yes,No,,Sandwiches,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,3.5,2,,No,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Ice Cream & Frozen Yogurt;Hawaiian;Hot Dogs,No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,4.5,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,American (New),No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Restaurants,No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Bars;American (New),No,,No,Late night,,Yes,No,,,,No,,Average,No,,Under $10,3,5,,Yes,Yes,No,No,No,Midtown East,Murray Hill,Kips Bay
,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,French;Tapas/Small Plates;Cocktail Bars,No,No,No,Brunch,No,Yes,No,,Yes,No,Yes,,Average,Yes,Street,$11-30 and Inexpensive,4.5,115,No,Yes,Yes,Yes,Yes,Free,Midtown East,Murray Hill,
,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,Southern;Comfort Food,Yes,No,No,Brunch,No,No,No,,Yes,No,No,,Average,Yes,Street,$11-30 and Inexpensive,4,568,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Romantic,Casual,Thu,Yes,No,No,Greek,No,No,No,Dinner,No,Yes,No,,Yes,No,No,,Average,No,Street,$31-60 and Moderate,4.5,810,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,American (Traditional);Burgers,No,No,No,Brunch,No,No,No,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4,753,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,Yes,No,American (New),Yes,No,No,Brunch,No,No,Yes,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4,797,No,Yes,No,Yes,Yes,No,East Village,Alphabet City,
,Yes,No,Hipster,Casual,Thu,Yes,No,No,Sandwiches;Meat Shops,Yes,No,No,Brunch,No,No,Yes,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4.5,67,No,Yes,No,No,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,Yes,No,American (New),Yes,No,No,Brunch,No,No,No,,Yes,No,Yes,,Average,No,Street,$11-30 and Inexpensive,4,604,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Moroccan,No,No,No,Brunch,No,Yes,No,,Yes,No,No,,Average,Yes,Street,$11-30 and Inexpensive,4,1326,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,Yes,No,Southern;Comfort Food,Yes,No,No,Dinner,No,No,No,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4.5,366,No,Yes,No,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,No,No,American (New),No,No,No,Dinner,No,Yes,No,,Yes,No,No,,Average,No,Garage,$31-60 and Moderate,4.5,48,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,No,No,Sandwiches;Bars,No,No,No,Dinner,No,Yes,Yes,,Yes,No,No,Background,Average,No,Garage,$11-30 and Inexpensive,5,16,No,Yes,No,Yes,No,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Thu,Yes,No,No,Sandwiches;French,Yes,No,No,Lunch,No,No,No,,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4.5,80,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
